"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","3436","0","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","118","136","6","0.000000","0","136"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","110","120","6","0.000000","0","120"
"/InterchangeAssets/gltf/M_Default.M_Default","0","118","136","6","0.000000","0","136"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","36","36","2","0.000000","0","36"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","90","100","6","0.000000","0","100"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","90","90","1","7.103808","0","90"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","110","120","6","0.000000","0","120"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/Game/Movies/MP_Intro_Video_UI.MP_Intro_Video_UI","0","12","12","1","2.871765","0","12"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","1.463840","0","2"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","1.520330","0","2"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","20.325211","1","50"
"/Game/ArtSources/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","56","64","2","0.000000","0","64"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","2","2","1","1.451366","0","2"
"/Game/ArtSources/Characters/3_Scry/SCRY_Materials/SCRY05.SCRY05","0","6","6","1","4.136906","0","6"
"/Game/ArtSources/Characters/3_Scry/SCRY_Materials/SCRY04.SCRY04","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/3_Scry/SCRY_Materials/SCRY03.SCRY03","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/3_Scry/SCRY_Materials/SCRY02.SCRY02","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/3_Scry/SCRY_Materials/SCRY01.SCRY01","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_001.TTN_001","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_002.TTN_002","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_003.TTN_003","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_005.TTN_005","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_006.TTN_006","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_007.TTN_007","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_009.TTN_009","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_010.TTN_010","0","6","6","1","0.000000","0","6"
"/Game/ArtSources/Characters/2_Titan/TTN_Materials/TTN_011.TTN_011","0","6","6","1","0.000000","0","6"
